Date,Price,Open,High,Low,Vol.,Change %
2021-01-05 00:00:00,275.2,272.69,275.7,270.28,45.58M,0.0118
2021-01-04 00:00:00,272,274.67,276.6,270.61,48.92M,0.0013
2020-12-30 00:00:00,271.65,272.49,274.24,270.12,31.53M,-0.0013
2020-12-29 00:00:00,272,275.91,276.43,271.26,39.02M,-0.0098
2020-12-28 00:00:00,274.7,270.9,275.19,269.73,39.04M,0.015
2020-12-25 00:00:00,270.64,269.97,271,268.28,11.99M,0.0049
2020-12-24 00:00:00,269.32,271.98,272.82,267.13,42.61M,-0.0029
2020-12-23 00:00:00,270.1,262.25,270.29,260.22,67.94M,0.0308
2020-12-22 00:00:00,262.04,259.55,267.42,257.05,105.49M,0.001
2020-12-21 00:00:00,261.79,266.2,267.34,259.7,120.52M,-0.031
2020-12-18 00:00:00,270.16,277.22,277.4,268.52,99.27M,-0.0299
2020-12-17 00:00:00,278.5,279.81,285.16,276.54,92.14M,0.0005
2020-12-16 00:00:00,278.35,278,280.84,276.14,54.75M,-0.0013
2020-12-15 00:00:00,278.7,278.53,283.76,276.07,84.19M,-0.0045
2020-12-14 00:00:00,279.95,285.01,287.74,277.1,90.42M,-0.0133
2020-12-11 00:00:00,283.73,282.5,284.6,279.78,76.10M,0.0054
2020-12-10 00:00:00,282.2,276.55,282.2,275.2,75.66M,0.0192
2020-12-09 00:00:00,276.89,276.4,279.42,275.87,73.64M,0.0051
2020-12-08 00:00:00,275.49,274.5,276.66,271.52,78.86M,0.0041
2020-12-07 00:00:00,274.36,269,276.13,268.1,94.79M,0.0161
2020-12-04 00:00:00,270,264.63,270.84,264.5,94.64M,0.0261
2020-12-03 00:00:00,263.14,264.5,264.63,260.85,62.24M,-0.0035
2020-12-02 00:00:00,264.06,260.05,264.99,258.8,93.45M,0.0125
2020-12-01 00:00:00,260.81,250.75,260.99,249.8,132.07M,0.0448
2020-11-30 00:00:00,249.63,249.72,251,245.98,112.14M,-0.0078
2020-11-27 00:00:00,251.59,250.3,252.26,248.03,51.43M,0.006
2020-11-26 00:00:00,250.1,252.3,252.88,247.44,79.92M,-0.0072
2020-11-25 00:00:00,251.91,248,252.2,246.55,133.40M,0.0185
2020-11-24 00:00:00,247.33,241.65,247.85,239.57,84.52M,0.0318
2020-11-23 00:00:00,239.7,240.45,243.87,238.52,74.83M,0.0012
2020-11-20 00:00:00,239.42,239.58,240.77,236.57,48.80M,-0.0035
2020-11-19 00:00:00,240.27,242.5,243.49,237.34,97.14M,-0.0101
2020-11-18 00:00:00,242.71,245.1,247.23,242.59,60.09M,-0.0122
2020-11-17 00:00:00,245.7,248,249.84,243.41,94.92M,-0.0092
2020-11-16 00:00:00,247.99,244.14,248.73,244,113.95M,0.0206
2020-11-13 00:00:00,242.99,242.01,244.14,238.62,106.15M,0.0038
2020-11-12 00:00:00,242.08,243.31,245.72,240.22,151.44M,-0.0087
2020-11-11 00:00:00,244.2,237,245.98,236.89,234.84M,0.0343
2020-11-10 00:00:00,236.1,227,237.6,226.27,229.60M,0.0353
2020-11-09 00:00:00,228.05,220,231.3,218.7,217.54M,0.0485
2020-11-06 00:00:00,217.5,215.8,218.29,213,95.00M,0.0037
2020-11-05 00:00:00,216.7,214.4,218.65,211.43,152.55M,0.0359
2020-11-03 00:00:00,209.2,205.7,211.11,203.8,90.37M,0.023
2020-11-02 00:00:00,204.5,200.45,204.59,196.15,82.34M,0.0175
2020-10-30 00:00:00,200.99,203.62,204.84,200.61,83.66M,-0.0223
2020-10-29 00:00:00,205.58,206.5,207.33,203.64,91.51M,0.0042
2020-10-28 00:00:00,204.73,206.94,206.94,202.3,70.17M,-0.014
2020-10-27 00:00:00,207.64,211.5,212.29,206.66,61.08M,-0.0164
2020-10-26 00:00:00,211.1,213.4,214.45,210.5,58.92M,-0.0159
2020-10-23 00:00:00,214.5,210,214.73,209.15,75.36M,0.0204
2020-10-22 00:00:00,210.21,209.58,211.53,207.84,46.86M,-0.0006
2020-10-21 00:00:00,210.33,210.04,213.25,208.9,82.51M,0.0038
2020-10-20 00:00:00,209.54,203,209.76,202.5,80.92M,0.0333
2020-10-19 00:00:00,202.78,201.55,204,201.55,47.42M,0.008
2020-10-16 00:00:00,201.17,204.02,204.25,200.5,66.26M,-0.0131
2020-10-15 00:00:00,203.85,207.46,207.57,201.95,76.50M,-0.0192
2020-10-14 00:00:00,207.83,205.06,208,204.78,46.84M,0.0137
2020-10-13 00:00:00,205.03,205.92,207.64,204.77,46.02M,-0.0056
2020-10-12 00:00:00,206.18,205.97,208.49,204.57,52.32M,0.0039
2020-10-09 00:00:00,205.38,208.47,208.96,204.4,65.52M,-0.0125
2020-10-08 00:00:00,207.97,211.2,211.43,207.26,49.55M,-0.0125
2020-10-07 00:00:00,210.6,211.3,212.66,209.03,62.05M,-0.0027
2020-10-06 00:00:00,211.18,209,212.99,208.35,87.53M,0.011
2020-10-05 00:00:00,208.89,209.65,210.69,207.72,45.60M,0.0004
2020-10-02 00:00:00,208.8,210.4,211.39,206.5,114.32M,-0.0811
2020-10-01 00:00:00,227.23,229.08,229.9,226.86,77.83M,-0.0083
2020-09-30 00:00:00,229.14,224.5,230.75,223.25,78.60M,0.0162
2020-09-29 00:00:00,225.48,228.88,228.88,223.1,90.42M,-0.0138
2020-09-28 00:00:00,228.63,228.79,229.55,227.35,64.52M,0.0017
2020-09-25 00:00:00,228.24,229,229.3,226.25,60.25M,0.0003
2020-09-24 00:00:00,228.17,227.63,231.1,225.75,82.00M,-0.0014
2020-09-23 00:00:00,228.5,230.02,232.1,227.61,71.30M,-0.006
2020-09-22 00:00:00,229.88,226,230.28,225.46,66.62M,0.016
2020-09-21 00:00:00,226.25,229.88,230.07,223.49,70.30M,-0.0176
2020-09-18 00:00:00,230.3,232,232.59,229,54.62M,-0.005
2020-09-17 00:00:00,231.46,229.1,231.75,228.57,49.13M,0.0017
2020-09-16 00:00:00,231.06,231.72,232.6,230.15,39.61M,-0.0019
2020-09-15 00:00:00,231.5,228.22,231.95,227.39,61.91M,0.0182
2020-09-14 00:00:00,227.37,222.31,227.54,222.13,62.91M,0.0285
2020-09-11 00:00:00,221.07,221.46,223.15,219.75,45.69M,0.0021
2020-09-10 00:00:00,220.6,218.24,222.15,215.79,71.20M,0.0119
2020-09-09 00:00:00,218,217.01,218.88,216.8,48.06M,0.0015
2020-09-08 00:00:00,217.68,222,222.48,216.29,70.02M,-0.0164
2020-09-07 00:00:00,221.32,221.5,224.2,220.5,59.33M,-0.004
2020-09-04 00:00:00,222.21,218,222.5,216.75,70.67M,0.0178
2020-09-03 00:00:00,218.32,221.67,224.23,218,69.47M,-0.0191
2020-09-02 00:00:00,222.57,228.56,228.75,220.85,77.85M,-0.0223
2020-09-01 00:00:00,227.64,226.7,227.97,226.01,37.55M,0.0068
2020-08-31 00:00:00,226.1,227,229.71,225,62.02M,-0.0009
2020-08-28 00:00:00,226.3,227,228.1,225.19,40.75M,0.0003
2020-08-27 00:00:00,226.23,227.87,229.98,225.6,51.03M,-0.0069
2020-08-26 00:00:00,227.8,228.3,229.4,224.7,75.78M,-0.0012
2020-08-25 00:00:00,228.08,232.3,232.97,226.9,58.98M,-0.0161
2020-08-24 00:00:00,231.81,232.5,233.7,230.2,44.55M,0.0026
2020-08-21 00:00:00,231.22,233.3,236.5,227.35,138.91M,-0.0054
2020-08-20 00:00:00,232.48,238.44,238.51,230.33,116.94M,-0.0289
2020-08-19 00:00:00,239.4,235.85,240.75,235.19,38.23M,0.0131
2020-08-18 00:00:00,236.3,236.88,239.83,235.69,36.76M,-0.0063
2020-08-17 00:00:00,237.8,240.8,242.35,234.5,77.12M,-0.0091
2020-08-14 00:00:00,239.99,242,242.22,238.47,44.28M,-0.0058
2020-08-13 00:00:00,241.39,242.2,244.04,238.57,85.72M,-0.0042
2020-08-12 00:00:00,242.4,233.12,242.5,233.03,101.00M,0.0419
2020-08-11 00:00:00,232.65,226.43,234.73,226.21,81.88M,0.0295
2020-08-10 00:00:00,225.99,227.96,228.7,224.51,43.50M,-0.0057
2020-08-07 00:00:00,227.28,225,227.6,224.46,35.64M,0.0057
2020-08-06 00:00:00,226,226.75,227.43,224.35,30.16M,-0.0018
2020-08-05 00:00:00,226.4,228.15,229.17,224.31,54.64M,-0.0033
2020-08-04 00:00:00,227.16,227.39,228.85,225.63,42.02M,0.0019
2020-08-03 00:00:00,226.72,222.27,228.36,221.3,64.56M,0.0232
2020-07-31 00:00:00,221.57,218.19,221.98,217.43,59.71M,0.0157
2020-07-30 00:00:00,218.15,218.71,218.88,215.34,51.26M,-0.0047
2020-07-29 00:00:00,219.18,215.89,219.18,215.63,41.35M,0.0169
2020-07-28 00:00:00,215.53,216.81,217.42,215.25,24.61M,-0.0063
2020-07-27 00:00:00,216.9,216.7,218.38,215.15,38.32M,0.0043
2020-07-24 00:00:00,215.97,214.8,217.41,197.73,53.57M,0.0026
2020-07-23 00:00:00,215.41,217.5,219.28,215,43.42M,-0.006
2020-07-22 00:00:00,216.71,215.98,217.65,213.56,48.44M,0.0045
2020-07-21 00:00:00,215.73,215,219.1,214.38,75.65M,0.0086
2020-07-20 00:00:00,213.89,210.27,214.48,209.08,44.51M,0.0146
2020-07-17 00:00:00,210.81,211.69,212.18,209.86,36.14M,-0.0026
2020-07-16 00:00:00,211.35,209.66,212.6,208.63,39.03M,0.0012
2020-07-15 00:00:00,211.09,210.29,211.8,207.65,49.53M,0.0076
2020-07-14 00:00:00,209.5,208.38,209.58,205.7,66.04M,0.0053
2020-07-13 00:00:00,208.39,213.87,214.2,208.11,51.33M,-0.0183
2020-07-10 00:00:00,212.28,207.51,212.6,206.57,50.71M,0.0152
2020-07-09 00:00:00,209.11,210.7,211.7,208.1,45.19M,-0.0088
2020-07-08 00:00:00,210.97,210.8,212.29,209.3,42.07M,0.0021
